,Content,Polarity
2,marodriguezb graci mar,
3,off pens en el regalit sind la que se va de la sga cuand se van sus corrupt intent no sac conclusion lo intent,
4,conozc a algui q es adict al dram ja ja ja te suen d algo,
6,toc crackoviadetv grabacion dl especial navideñomari crism,
8,buen dia tod lo primer mand un abraz grand a miguel y a su famili libertadmont hoy podr ser un dia par la grandez human,
9,desd el escañ tod list par empez #endiascomohoy en el congres {link},
10,bdi em no se ira de puent si vosotr os vais no dejeis de llev la tablet o el pc y desd lueg orbyt de moment no dig mas,
11,un sistem econom q recort diner par prestacion social y refuerz con billon y medi d eur a los banc no necesit repens,
12,#programascambi cac d ajust,
13,buen viern,
14,“adri__ #programascambi es tt graci a carlos_latre” graci por el buen rat amig,
17,la univers conf en de la call par encar sus ret mas ambici {link},
18,me ayud a que #indultoneir sea tt por si zapater quier algun sugerent par el ultim consej de ministr {link},
19,abcdesevill reci no tien «indici potentes» par denunci a los respons de los ere {link},
20,abcdesevill cuatr altos carg de emple denunci por retir la prejubil a extrabaj {link},
21,la march atras del pp en pospon devolu cca es un resbalon deb asum fall y no ment dic que no conoc estad cuent,
22,viern negr aument el par en noviembr y disminu los afili a la segur social esta es la trist #herenciapso,
23,accident en bus-va a- km motor de años her men grav samur_pc trasl a hospital doc de octubr via emergenciasm,
24,la verdader seried es comic niall binns retrat a nicanor parr premi cervant {link},
25,#ff a ti que des desesper hac #ff per no lo hac por el que diran,
26,mis #ff xa merpastor x volv a sonreir a gfvar x ser tan autent a horas_rn x su subidòn y a carmendelrieg x su victori,
27,agradezc a trabaj y sindicat la desconvocatori de la huelg en el aeropuert me he compromet a medi #sevillahoy,
28,#ff a rdscubrenav por ser una gran inici que en estos moment se necesit hay que record lo import y verdader,
31,terc actoacuerd banc central par dar un poc de tiemp,
32,soy conscient de que estam pid un gran esfuerz a las famili castellanomancheg,
33,eguigur el gobiern ha negoci con eta llev dos años denunci {link},
34,no se ha aprob la ley sind,
36,¡¡much anim hoy par la armad ¡¡esper que pod brind la quint cop davis ¡¡¡much suert {link},
37,blanc ministr portavoz en funcion desacredit de form rotund al pte del pse jesus eguigurenn sab de lo que habl no es ciert,
38,desgraci el par en españ sig crec madr va mejor con cotiz mas y desempl men,
40,#ff de vuelt - pepem popularescyl anamariavielb marmarev ajimnezvelay jmoret dllanosg c_florian,
41,que gracios los laic social le met el amazing grac a un anunci de la dgt si se descuid le pon el pang lingu,
45,me encant ver por aqui a tudni -,
46,si estan por valenci españ les recom esta exposicion {link},
48,“martaceram maria_rey amigaaaaa” holaaa guapaaa,
49,el juez imput a dos direct de la ciud de las artes y cienci de valenci por el cas urdangarin parec que tod lo estan men el,
51,el desemple en ee uu baj a los nivel de marz de {link},
54,gran reconoc que da los dat de par con objet por estar en interin y antes telediarioint,
55,corazon parti españ e irland se enfrent en la eurocop,
56,transparent internacional españ ocup n en ranking pdetras detras de chipr emirat arab qatarurg ley transparent ya,
57,rt fanclubm estas navidad regal solidaridad#positivegeneration cont {link},
58,crisis de ident rt loidalois evaoreg ¡¡¡tu eres español por encim de tod,
59,el teleton hac un gran servici social y voy a apoy por supuest rt karlagglez cont {link},
60,cospedal deb ped perdon por ment y utiliz de form demagog la rebaj sueld funcionariosl que ahor aplic sin pudor,
61,asi me gust monic “monirom pedroj_ramirez a la orden jef cualqu te va a discut ipad+orbyt+trabajo”,
63,hac cinc mes el pp me comunic por escrit que su interlocutor preferent era iu ello le permit gobern ahor pid consens,
64,bienven a la brig anti-v per esta region tien un problem mas iu dej tir a monag mes despues de su nombramient,
65,gfvar la ley del embudocaracterist de la derech español anim,
66,eso no es ciert nos llev de maravill rt deyra_love_btr alejandrosanz ¬¬ por qe cont {link},
67,españ se pon a punt de gan su quint davissevill d nuev talismanmañanah giraldatv {link},
68,buen españ a un punt de gan la ª cop davis felic al equip,
70,ssantiagosegur angyfdz flofdez borr esta amiguet un abruz,
71,par nadaaa sabeis que no es asi a vec no coincid es tod os mand much cariñort cont {link},
72,adios al dia en el q casi ha culmin el destap dl estad de bienest q nos va a qued despues d q se lo gast casi tod,
74,la ris ilumin las almas que estan bañ de tristez la sonris es la tibi carici par la hel soledadwh patrick,
75,deten la carrer nucl de iran deb ser una priorid estrateg maxim par occident,
76,a ver si lo entiend com banc central europe no pued prest a los gobi prest al fmi par q este q si puedel hag europ,
77,altos carg recel del exhaust traspas de poder asegur que se ha convert en fiscaliz {link},
78,buen dias que buen eran/sig siend talking heads,
79,ssantiagosegur jijijiji y el q se sib a la mes dl jur es el verdader manol escob hac d lady marmalad jojijii,
81,los result preliminar en egipt augur un profund cambi con consecuent regionalesfalt vot rural q atenu algo result,
82,tranquil en las carreter en el segund dia de puent de la constitu - {link},
83,graci por la hospital - rt isabelatortlini bienven don aarbelo a mi humild mor,
84,en el espolon conmemor el dia de la discapac {link},
86,los vandal le arranc de nuev el lapiz a picass {link},
87,esto es apoy de verd la diputacionmlg reduc impuest a puebl {link},
88,un poc d agu fri despu dl entren esta mañan ahor a com un poc d past y descans total par esta noch q ser muy dificil,
89,que corr el dewars“dewarsspain jordievol buenafuent julia_oter santi_mill graci jordi”,
90,deten la jef de una prestigi ong rus de control electoral {link},
91,porqu no ten program graci kimytwiter buenafuent buenafuent por q ya no dais tant risa”,
92,mi articul en esd la testarudez del consejer de salud riojan pon a sanz en la picot {link},
95,sincer estoy observ la zon de recre psiquiatr del hcivil y es patet lo que veo {link},
96,con fin mi muj amig y el repart de iceberg nuev pelicul de gabriel velazquezpor gabri no pas los años {link},
97,diario_sur asi esta la zon de recre psiquiatr en el hospital civil patet son person {link},
98,me reserv dond y com deposit mis ahorr con mi famili sol estoy oblig a la trasparent public aunqu veo que hay much expert,
100,bien que lo sient si es asil uedil la bienven ayeresp que aun salg adel,
104,graci amig ya som,
108,precios de verd - perdonam by pabl alboran from #soundhound {link},
109,ataqu de inyeccion sql masiv {link},
111,mir sblanc nuestr arbol - {link},
112,jej eso es buen mkrey buenafuent me has hech llor de risa”,
113,rt nosesiaport vam chilen ultim esfuerz al banc qued poc y lo logr la teleton te necesit,
114,ya estam por que no me duerm lo voy a intent no deb ser tan dificil,
115,rt betolash a ver pau cuant es x un jeep tod terren maestr #multiplicocomopaulinarubi ja ja ja muy buen,
116,por que los medi de comun se han llen de anunci oficial no hab q recort el gast public qui lo denunci,
117,buen dias y mil graci rt pvcmalag buen dia mariviromeromi concejal favorit,
118,javierarenas_pp critic que pepegrin pid a marianorajoy una reunion que nieg a sus alcald {link},
120,krugm la auster esta mat al eur {link} via el_pais,
